username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
dancurimil,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,61e27a8ef30447f8a91a8aaec996b382_2_1,Que sus estudiantes...,d) Se aburrían cuando tenían que trabajar la regla de Laplace con dados y monedas.,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""correct_map"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}, ""last_submission_time"": ""2020-01-29T04:12:36Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": ""choice_3""}, ""seed"": 1}"
ThomasPM,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,356dd9c5b5af42e7b287961137addfe9_2_1,Pregunta 1,b) El dominio procedimental en el uso de la regla de Laplace.,a) La comprensión conceptual de la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""correct_map"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}, ""last_submission_time"": ""2020-01-15T21:38:02Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": ""choice_1""}, ""seed"": 1}"
jromo,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}}"
UsuarioPruebaCMMEDU,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}}"
Camila_Brito,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}}"
ricardos,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}}"
Caro_Ticona,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}}"
flavio,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,356dd9c5b5af42e7b287961137addfe9_2_1,Pregunta 1,a) La comprensión conceptual de la regla de Laplace.,a) La comprensión conceptual de la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""correct_map"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}, ""last_submission_time"": ""2020-01-10T13:31:15Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": ""choice_0""}, ""seed"": 1}"
Maritza,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,356dd9c5b5af42e7b287961137addfe9_2_1,Pregunta 1,a) La comprensión conceptual de la regla de Laplace.,a) La comprensión conceptual de la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""correct_map"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}, ""last_submission_time"": ""2020-01-06T20:28:11Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 1}, ""done"": true, ""student_answers"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": ""choice_0""}, ""seed"": 1}"
stefanmoss,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}}"
